Converting /ct12/abrammer/graphics/ecmf_tc_data/data/A_JSXX01ECEP141200_C_ECMP_20170714120000_tropical_cyclone_track_FERNANDA_-118p3degW_11degN_bufr4.bin
         2294559 function calls (2265619 primitive calls) in 5.160 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:1042(_open_file_or_url)
        1    0.000    0.000    0.174    0.174 __init__.py:106(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:1060(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1072(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1096(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1102(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:1137(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1138(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1154(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:116(lrange)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1246(Logger)
        2    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1273(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1303(rc_context)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1433(is_interactive)
        1    0.000    0.000    0.007    0.007 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1569(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        3    0.000    0.000    0.000    0.000 __init__.py:161(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
     1497    0.002    0.000    0.003    0.000 __init__.py:175(iteritems)
        1    0.000    0.000    0.000    0.000 __init__.py:1806(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        4    0.000    0.000    0.000    0.000 __init__.py:185(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
      372    0.000    0.000    0.000    0.000 __init__.py:186(bind_method)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        2    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.003    0.003 __init__.py:228(_is_writable_dir)
        8    0.000    0.000    0.000    0.000 __init__.py:228(u)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
       55    0.000    0.000    0.000    0.000 __init__.py:231(u_safe)
        1    0.000    0.000    0.000    0.000 __init__.py:234(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.007    0.007 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
       69    0.000    0.000    0.000    0.000 __init__.py:252(set_function_name)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:257(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.076    0.076 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:263(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:281(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:285(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:292(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:296(set_fileo)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3(Template)
        2    0.000    0.000    0.000    0.000 __init__.py:302(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
       10    0.000    0.000    0.000    0.000 __init__.py:313(report)
        1    0.000    0.000    0.000    0.000 __init__.py:323(add_metaclass)
        4    0.000    0.000    0.000    0.000 __init__.py:324(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:325(wrapper)
        3    0.000    0.000    0.001    0.000 __init__.py:328(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:335(wrapper)
        3    0.000    0.000    0.000    0.000 __init__.py:338(_FuncPtr)
